mun_id,mun_name,fre,Oui loi covid,participation,voteIn,UDC,value
1,Aeugst am Albis,Zurich,62.208258528,79.459843639,1118,30.3809593987,Allemand
2,Affoltern am Albis,Zurich,63.845831588,66.518908436,4802,30.3069199612,Allemand
3,Bonstetten,Zurich,70.840984209,74.897456932,2739,26.1163129572,Allemand
4,Hausen am Albis,Zurich,61.21399177,75.473155659,1954,33.1847796099,Allemand
5,Hedingen,Zurich,67.851622875,77.951180472,1948,26.6017910698,Allemand
6,Kappel am Albis,Zurich,48.460291734,75.642594859,618,43.6358053125,Allemand
7,Knonau,Zurich,59.893522626,74.98349835,1136,32.268635666,Allemand
8,Maschwanden,Zurich,57.142857143,77.578475336,346,44.5180478572,Allemand
9,Mettmenstetten,Zurich,60.169192809,77.081081081,2852,31.2296543489,Allemand
10,Obfelden,Zurich,63.588067021,69.988610478,2458,33.7152209493,Allemand
11,Ottenbach,Zurich,63.686382393,76.108502869,1459,32.3097502973,Allemand
12,Rifferswil,Zurich,57.827476038,80.279898219,631,26.8183875348,Allemand
13,Stallikon,Zurich,68.691588785,71.943048576,1718,35.6176666496,Allemand
14,Wettswil am Albis,Zurich,73.391042529,76.576834862,2671,28.3799458693,Allemand
21,Adlikon,Zurich,51.07398568,85.772357724,422,56.4580415814,Allemand
22,Benken (ZH),Zurich,54.691075515,73.956594324,443,46.6493817312,Allemand
23,Berg am Irchel,Zurich,60.162601626,81.718061674,371,52.7093596059,Allemand
24,Buch am Irchel,Zurich,64.259259259,74.348422497,542,48.6310194878,Allemand
25,Dachsen,Zurich,66.427840328,72.606774669,986,30.3189227498,Allemand
26,Dorf,Zurich,59.240506329,79.207920792,400,48.8656195462,Allemand
27,Feuerthalen,Zurich,63.260340633,71.050384287,1664,31.5246477738,Allemand
28,Flaach,Zurich,60.387811634,74.846625767,732,48.3005576754,Allemand
29,Flurlingen,Zurich,71.498771499,78.530534351,823,25.1265505924,Allemand
30,Andelfingen,Zurich,68.80733945,79.016393443,1205,31.2175379427,Allemand
31,Henggart,Zurich,65.39360873,77.037477692,1295,37.2976532982,Allemand
32,Humlikon,Zurich,58.608058608,79.310344828,276,48.3900643974,Allemand
33,Kleinandelfingen,Zurich,56.822429907,72.574123989,1077,40.1155222909,Allemand
34,Laufen-Uhwiesen,Zurich,60.90712743,72.599531616,930,36.8605432383,Allemand
35,Marthalen,Zurich,54.003724395,77.530509691,1080,49.6239519234,Allemand
37,Ossingen,Zurich,62.747380675,69.54069299,863,40.5632086965,Allemand
38,Rheinau,Zurich,62.787136294,76.443418014,662,33.0094684077,Allemand
39,Thalheim an der Thur,Zurich,52.030947776,76.023391813,520,54.6902168939,Allemand
40,Trüllikon,Zurich,51.882160393,77.749683944,615,49.2033603708,Allemand
41,Truttikon,Zurich,55,81.213872832,281,42.4473147519,Allemand
43,Volken,Zurich,52.261306533,75.094339623,199,49.9564080209,Allemand
51,Bachenbülach,Zurich,63.514338011,64.830841857,1648,31.4289717008,Allemand
52,Bassersdorf,Zurich,66.215926164,64.931278634,4677,32.9243159263,Allemand
53,Bülach,Zurich,63.610421836,63.132492605,8110,30.7851486807,Allemand
54,Dietlikon,Zurich,66.802892172,67.801268499,3207,28.6378373577,Allemand
55,Eglisau,Zurich,66.540880503,72.562083586,2396,30.4810800532,Allemand
