candidat,parti,intentions,erreur_sup,erreur_inf,id,nom_institut,fin_enquete,lower_b,upper_b,fitted,parti_o
Marine Le Pen,Rassemblement national,25,27.0405,22.9595,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.0921,24.9079,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,25,27.0405,22.9595,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.0921,24.9079,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,26,28.067,23.933,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.0921,24.9079,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.0921,24.9079,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,26,28.067,23.933,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,25,27.0405,22.9595,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,25,27.0405,22.9595,20210402_0408_ifp,Ifop,2021-04-08,24.208855041818428,28.29536027117408,26.252107656496257,Rassemblement national
Marine Le Pen,Rassemblement national,28,30.273,25.727,20210412_0414_elb,Elabe,2021-04-14,24.35453154710126,28.657914213044826,26.50622288007304,Rassemblement national
Marine Le Pen,Rassemblement national,26,28.2073,23.7927,20210412_0414_elb,Elabe,2021-04-14,24.35453154710126,28.657914213044826,26.50622288007304,Rassemblement national
Marine Le Pen,Rassemblement national,27,28.1055,25.8945,20210409_0415_ips,Ipsos,2021-04-15,24.375719492355632,28.713746166354376,26.544732829355,Rassemblement national
Marine Le Pen,Rassemblement national,26,27.0863,24.9137,20210409_0415_ips,Ipsos,2021-04-15,24.375719492355632,28.713746166354376,26.544732829355,Rassemblement national
Marine Le Pen,Rassemblement national,28,29.1243,26.8757,20210409_0415_ips,Ipsos,2021-04-15,24.375719492355632,28.713746166354376,26.544732829355,Rassemblement national
Marine Le Pen,Rassemblement national,23,25.3078,20.6922,20210414_0415_rws,Redfield & Wilton Strategies,2021-04-15,24.375719492355632,28.713746166354376,26.544732829355,Rassemblement national
Marine Le Pen,Rassemblement national,26,29.0381,22.9619,20210416_0419_hi,Harris Interactive,2021-04-19,24.44941757826878,28.92034903856525,26.684883308417007,Rassemblement national
Marine Le Pen,Rassemblement national,26,29.0008,22.9992,20210416_0419_hi,Harris Interactive,2021-04-19,24.44941757826878,28.92034903856525,26.684883308417007,Rassemblement national
Marine Le Pen,Rassemblement national,29,32.0656,25.9344,20210514_0517_hi,Harris Interactive,2021-05-17,24.53236910600095,29.71409866790033,27.123233886950626,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.9993,24.0007,20210514_0517_hi,Harris Interactive,2021-05-17,24.53236910600095,29.71409866790033,27.123233886950626,Rassemblement national
Marine Le Pen,Rassemblement national,29,31.8234,26.1766,20210518_0520_ifp,Ifop,2021-05-20,24.501168972846987,29.739431011738002,27.12029999229248,Rassemblement national
Marine Le Pen,Rassemblement national,29,31.861,26.139,20210518_0520_ifp,Ifop,2021-05-20,24.501168972846987,29.739431011738002,27.12029999229248,Rassemblement national
Marine Le Pen,Rassemblement national,29,31.8959,26.1041,20210518_0520_ifp,Ifop,2021-05-20,24.501168972846987,29.739431011738002,27.12029999229248,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.7913,24.2087,20210518_0520_ifp,Ifop,2021-05-20,24.501168972846987,29.739431011738002,27.12029999229248,Rassemblement national
Marine Le Pen,Rassemblement national,30,32.912,27.088,20210518_0520_ifp,Ifop,2021-05-20,24.501168972846987,29.739431011738002,27.12029999229248,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.964,24.036,20210521_0524_hi,Harris Interactive,2021-05-24,24.448605669631327,29.757095158914815,27.102850414273053,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.9994,24.0006,20210521_0524_hi,Harris Interactive,2021-05-24,24.448605669631327,29.757095158914815,27.102850414273053,Rassemblement national
Marine Le Pen,Rassemblement national,28,30.7068,25.2932,20210528_0531_hi,Harris Interactive,2021-05-31,24.32768824377803,29.74575069104582,27.03671946741191,Rassemblement national
Marine Le Pen,Rassemblement national,28,30.7068,25.2932,20210528_0531_hi,Harris Interactive,2021-05-31,24.32768824377803,29.74575069104582,27.03671946741191,Rassemblement national
Marine Le Pen,Rassemblement national,28,30.7746,25.2254,20210604_0607_hi,Harris Interactive,2021-06-07,24.171940097359784,29.683982968115473,26.92796153273761,Rassemblement national
Marine Le Pen,Rassemblement national,28,30.7746,25.2254,20210604_0607_hi,Harris Interactive,2021-06-07,24.171940097359784,29.683982968115473,26.92796153273761,Rassemblement national
Marine Le Pen,Rassemblement national,28,31.5168,24.4832,20210608_0609_ifp,Ifop,2021-06-09,24.12136826984817,29.657621883180845,26.889495076514482,Rassemblement national
Marine Le Pen,Rassemblement national,27,29.6292,24.3708,20210611_0614_hi,Harris Interactive,2021-06-14,23.983684499295272,29.57570969394589,26.77969709662056,Rassemblement national
Marine Le Pen,Rassemblement national,29,31.7198,26.2802,20210611_0614_hi,Harris Interactive,2021-06-14,23.983684499295272,29.57570969394589,26.77969709662056,Rassemblement national
